date_id,agent_id,department_id,total_tickets_handled,avg_handle_time_mins,escalation_rate,backlog,reopened_tickets,utilization_rate,sla_breaches
2025-01-10,1,4,4,285.8999938964844,0.0,1,0,0.7900000214576721,1
2025-01-11,1,4,5,308.29998779296875,0.20000000298023224,2,1,0.800000011920929,0
2025-01-12,1,4,5,318.3999938964844,0.0,1,0,0.800000011920929,0
2025-01-13,1,4,4,240.1999969482422,0.0,1,0,0.7900000214576721,0
2025-01-14,1,4,5,385.70001220703125,0.0,4,0,0.800000011920929,1
2025-01-15,1,4,5,231.0,0.0,2,0,0.800000011920929,0
2025-01-16,1,4,6,310.6000061035156,0.0,0,0,0.8100000023841858,1
2025-01-17,1,4,6,325.20001220703125,0.5,4,2,0.8100000023841858,1
2025-01-18,1,4,5,289.20001220703125,0.20000000298023224,2,1,0.800000011920929,1
2025-01-19,1,4,4,276.6000061035156,0.0,0,0,0.7900000214576721,0
2025-01-20,1,4,5,297.20001220703125,0.0,1,0,0.800000011920929,1
2025-01-21,1,4,6,246.10000610351562,0.16699999570846558,2,1,0.8100000023841858,0
2025-01-22,1,4,4,282.1000061035156,0.25,2,1,0.7900000214576721,0
2025-01-23,1,4,6,379.29998779296875,0.16699999570846558,3,1,0.8100000023841858,2
2025-01-24,1,4,5,299.5,0.20000000298023224,1,0,0.800000011920929,1
2025-01-25,1,4,4,337.79998779296875,0.25,2,0,0.7900000214576721,1
2025-01-26,1,4,5,354.0,0.6000000238418579,4,1,0.800000011920929,2
2025-01-27,1,4,4,266.0,0.25,1,1,0.7900000214576721,0
2025-01-28,1,4,5,241.39999389648438,0.20000000298023224,1,0,0.800000011920929,1
2025-01-29,1,4,5,273.6000061035156,0.0,3,0,0.800000011920929,0
2025-01-30,1,4,6,344.6000061035156,0.0,4,0,0.8100000023841858,1
2025-01-31,1,4,5,393.5,0.20000000298023224,1,0,0.800000011920929,4
2025-02-01,1,4,4,382.3999938964844,0.0,3,0,0.7900000214576721,0
2025-02-02,1,4,5,288.0,0.4000000059604645,3,0,0.800000011920929,2
2025-02-03,1,4,4,296.1000061035156,0.0,2,0,0.7900000214576721,1
2025-02-04,1,4,5,255.5,0.20000000298023224,1,1,0.800000011920929,1
2025-02-05,1,4,4,297.29998779296875,0.0,0,0,0.7900000214576721,0
2025-02-06,1,4,7,317.29998779296875,0.0,0,0,0.8199999928474426,1
2025-02-07,1,4,5,274.1000061035156,0.0,0,0,0.800000011920929,0
2025-02-08,1,4,5,366.6000061035156,0.20000000298023224,3,1,0.800000011920929,0
2025-02-09,1,4,5,377.0,0.20000000298023224,3,1,0.800000011920929,0
2025-02-10,1,4,5,341.0,0.0,1,0,0.800000011920929,0
2025-02-11,1,4,4,323.1000061035156,0.25,2,1,0.7900000214576721,1
2025-02-12,1,4,4,249.0,0.25,1,1,0.7900000214576721,0
2025-02-13,1,4,5,337.20001220703125,0.0,0,0,0.800000011920929,0
2025-02-14,1,4,6,278.1000061035156,0.0,0,0,0.8100000023841858,1
2025-02-15,1,4,4,425.3999938964844,0.0,1,0,0.7900000214576721,2
2025-02-16,1,4,5,413.29998779296875,0.0,3,0,0.800000011920929,0
2025-02-17,1,4,6,265.8999938964844,0.3330000042915344,2,0,0.8100000023841858,2
2025-02-18,1,4,4,247.5,0.25,2,0,0.7900000214576721,1
2025-02-19,1,4,5,307.3999938964844,0.20000000298023224,1,1,0.800000011920929,1
2025-02-20,1,4,4,331.8999938964844,0.0,1,0,0.7900000214576721,0
2025-02-21,1,4,5,350.79998779296875,0.20000000298023224,2,1,0.800000011920929,1
2025-02-22,1,4,4,359.20001220703125,0.0,0,0,0.7900000214576721,2
2025-02-23,1,4,5,319.6000061035156,0.0,1,0,0.800000011920929,1
2025-02-24,1,4,5,277.20001220703125,0.0,2,0,0.800000011920929,1
2025-02-25,1,4,5,273.5,0.0,3,0,0.800000011920929,0
2025-02-26,1,4,4,219.89999389648438,0.25,1,1,0.7900000214576721,0
2025-02-27,1,4,5,329.6000061035156,0.20000000298023224,3,0,0.800000011920929,1
2025-02-28,1,4,5,301.70001220703125,0.20000000298023224,3,0,0.800000011920929,1
2025-03-01,1,4,5,301.70001220703125,0.20000000298023224,2,1,0.800000011920929,1
2025-03-02,1,4,4,329.8999938964844,0.0,2,0,0.7900000214576721,0
2025-03-03,1,4,5,327.70001220703125,0.20000000298023224,1,0,0.800000011920929,1
2025-03-04,1,4,5,373.0,0.20000000298023224,2,1,0.800000011920929,1
2025-03-05,1,4,4,357.3999938964844,0.25,1,1,0.7900000214576721,1
2025-03-06,1,4,4,328.1000061035156,0.0,0,0,0.7900000214576721,0
2025-03-07,1,4,5,370.8999938964844,0.0,3,0,0.800000011920929,1
2025-03-08,1,4,4,221.6999969482422,0.0,2,0,0.7900000214576721,0
2025-03-09,1,4,6,256.29998779296875,0.0,2,0,0.8100000023841858,1
2025-03-10,1,4,5,341.20001220703125,0.20000000298023224,1,0,0.800000011920929,1
2025-03-11,1,4,5,305.6000061035156,0.20000000298023224,2,0,0.800000011920929,2
2025-03-12,1,4,4,326.8999938964844,0.0,1,0,0.7900000214576721,0
2025-03-13,1,4,5,299.8999938964844,0.0,0,0,0.800000011920929,1
2025-03-14,1,4,5,349.1000061035156,0.20000000298023224,3,1,0.800000011920929,0
2025-03-15,1,4,6,397.20001220703125,0.0,2,0,0.8100000023841858,0
2025-03-16,1,4,5,284.5,0.20000000298023224,4,1,0.800000011920929,0
2025-03-17,1,4,5,380.0,0.20000000298023224,3,1,0.800000011920929,0
2025-03-18,1,4,5,243.6999969482422,0.0,2,0,0.800000011920929,1
2025-03-19,1,4,5,311.8999938964844,0.4000000059604645,2,0,0.800000011920929,3
2025-03-20,1,4,5,255.39999389648438,0.0,2,0,0.800000011920929,1
2025-03-21,1,4,3,253.1999969482422,0.0,1,0,0.7799999713897705,1
2025-03-22,1,4,5,342.3999938964844,0.0,1,0,0.800000011920929,0
2025-03-23,1,4,5,374.8999938964844,0.20000000298023224,2,1,0.800000011920929,2
2025-03-24,1,4,5,375.70001220703125,0.20000000298023224,3,0,0.800000011920929,1
2025-03-25,1,4,4,272.20001220703125,0.0,2,0,0.7900000214576721,0
2025-03-26,1,4,5,353.20001220703125,0.20000000298023224,2,0,0.800000011920929,2
2025-03-27,1,4,4,243.89999389648438,0.25,3,1,0.7900000214576721,1
2025-03-28,1,4,5,365.20001220703125,0.20000000298023224,2,0,0.800000011920929,2
2025-03-29,1,4,5,358.8999938964844,0.0,1,0,0.800000011920929,0
2025-03-30,1,4,6,320.5,0.16699999570846558,3,1,0.8100000023841858,0
2025-03-31,1,4,4,347.70001220703125,0.0,0,0,0.7900000214576721,0
2025-04-01,1,4,5,282.20001220703125,0.20000000298023224,1,0,0.800000011920929,1
2025-04-02,1,4,5,315.6000061035156,0.0,2,0,0.800000011920929,0
2025-04-03,1,4,5,354.20001220703125,0.20000000298023224,2,0,0.800000011920929,1
2025-04-04,1,4,5,251.5,0.0,3,0,0.800000011920929,1
2025-04-05,1,4,4,252.39999389648438,0.0,2,0,0.7900000214576721,1
2025-04-06,1,4,5,385.79998779296875,0.0,0,0,0.800000011920929,0
2025-04-07,1,4,6,369.3999938964844,0.16699999570846558,2,0,0.8100000023841858,1
2025-04-08,1,4,6,305.20001220703125,0.0,2,0,0.8100000023841858,1
2025-04-09,1,4,5,252.5,0.0,1,0,0.800000011920929,0
2025-04-10,1,4,6,286.20001220703125,0.16699999570846558,3,0,0.8100000023841858,2
2025-01-10,2,4,7,165.3000030517578,0.0,1,0,0.8700000047683716,0
2025-01-11,2,4,6,173.3000030517578,0.0,1,0,0.8600000143051147,1
2025-01-12,2,4,5,201.8000030517578,0.0,0,0,0.8500000238418579,1
2025-01-13,2,4,5,240.5,0.0,2,0,0.8500000238418579,1
2025-01-14,2,4,6,151.1999969482422,0.0,1,0,0.8600000143051147,1
2025-01-15,2,4,6,255.6999969482422,0.0,0,0,0.8600000143051147,0
2025-01-16,2,4,8,156.5,0.0,2,0,0.8799999952316284,0
2025-01-17,2,4,8,218.89999389648438,0.0,2,0,0.8799999952316284,0
2025-01-18,2,4,7,195.8000030517578,0.0,2,0,0.8700000047683716,1
2025-01-19,2,4,6,147.60000610351562,0.0,0,0,0.8600000143051147,3
2025-01-20,2,4,8,194.60000610351562,0.0,1,0,0.8799999952316284,1
2025-01-21,2,4,7,194.10000610351562,0.14300000667572021,3,1,0.8700000047683716,0
2025-01-22,2,4,8,208.89999389648438,0.125,3,1,0.8799999952316284,0
2025-01-23,2,4,7,196.8000030517578,0.0,1,0,0.8700000047683716,0
2025-01-24,2,4,5,214.60000610351562,0.0,0,0,0.8500000238418579,1
2025-01-25,2,4,6,195.6999969482422,0.0,0,0,0.8600000143051147,0
2025-01-26,2,4,5,261.0,0.0,2,0,0.8500000238418579,0
